,Context,Reply
0,"Friend (Priyanka): ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.

","Prime video id and password please 🤭
"
1,"Friend (Priyanka): ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.

Meghana: Prime video id and password please 🤭

Friend (Priyanka): priyankapavithran1994@gmail.com
Auro42!*
Da
Will call you tomorrow

","Wokay👍🏾
Today let’s all talk okay, paavam Swati is feeling really bad also
"
2,"Friend (Priyanka): ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.

Meghana: Prime video id and password please 🤭

Friend (Priyanka): priyankapavithran1994@gmail.com
Auro42!*
Da
Will call you tomorrow

Meghana: Wokay👍🏾
Today let’s all talk okay, paavam Swati is feeling really bad also

Friend (Priyanka): Busy now?

","Have coordination at 8That’s why I woke up this early, at 7Video call today?
Actually,not asking,telling 🤭
"
3,"Friend (Priyanka): priyankapavithran1994@gmail.com
Auro42!*
Da
Will call you tomorrow

Meghana: Wokay👍🏾
Today let’s all talk okay, paavam Swati is feeling really bad also

Friend (Priyanka): Busy now?

Meghana: Have coordination at 8That’s why I woke up this early, at 7Video call today?
Actually,not asking,telling 🤭

Friend (Priyanka): Yes mam
‎Missed video call

","One friend of mine got in SAP Bellandur
She wants to talk to you it seems
Shall I pass on your number?
"
4,"Friend (Priyanka): Busy now?

Meghana: Have coordination at 8That’s why I woke up this early, at 7Video call today?
Actually,not asking,telling 🤭

Friend (Priyanka): Yes mam
‎Missed video call

Meghana: One friend of mine got in SAP Bellandur
She wants to talk to you it seems
Shall I pass on your number?

Friend (Priyanka): Cool 👍🏼
Your friend is asking too many questions

","🤭🤭
Sorry chinchilla
*chinchu
What exactly does she want to know?
"
5,"Friend (Priyanka): Yes mam
‎Missed video call

Meghana: One friend of mine got in SAP Bellandur
She wants to talk to you it seems
Shall I pass on your number?

Friend (Priyanka): Cool 👍🏼
Your friend is asking too many questions

Meghana: 🤭🤭
Sorry chinchilla
*chinchu
What exactly does she want to know?

Friend (Priyanka): Nothing, chill
Is she from aecs?

","No no
She is Aarthi’s friend
Opposite section
"
6,"Friend (Priyanka): Cool 👍🏼
Your friend is asking too many questions

Meghana: 🤭🤭
Sorry chinchilla
*chinchu
What exactly does she want to know?

Friend (Priyanka): Nothing, chill
Is she from aecs?

Meghana: No no
She is Aarthi’s friend
Opposite section

Friend (Priyanka): Oh ok
Madam took two days to reply

","WhatsApp I rarely open😵😵
Too lazy actually 🤭🤭
Frustration aanu,when I see messages
"
7,"Friend (Priyanka): Nothing, chill
Is she from aecs?

Meghana: No no
She is Aarthi’s friend
Opposite section

Friend (Priyanka): Oh ok
Madam took two days to reply

Meghana: WhatsApp I rarely open😵😵
Too lazy actually 🤭🤭
Frustration aanu,when I see messages

Friend (Priyanka): ‎Missed video call
‎Missed video call
‎Missed group video call

","Call call
Call call
Priyanka,how you feeling?
Don’t bother what Abhi said okay,I am so sorry 😢
Don’t know why she is acting like this
"
8,"Friend (Priyanka): Oh ok
Madam took two days to reply

Meghana: WhatsApp I rarely open😵😵
Too lazy actually 🤭🤭
Frustration aanu,when I see messages

Friend (Priyanka): ‎Missed video call
‎Missed video call
‎Missed group video call

Meghana: Call call
Call call
Priyanka,how you feeling?
Don’t bother what Abhi said okay,I am so sorry 😢
Don’t know why she is acting like this

Friend (Priyanka): I felt really bad reading that message.. but am over it now
I'm not angry at anyone though
I would have told her myself eventually

","I know,Chinnu told me
Don’t worry about what she said
That’s how she talks to everyone these days
Even when she talks to me,like one ammachi she acts
Whenever I joke and say that I’ll find people at Cisco,the way she acts😵
"
9,"Friend (Priyanka): ‎Missed video call
‎Missed video call
‎Missed group video call

Meghana: Call call
Call call
Priyanka,how you feeling?
Don’t bother what Abhi said okay,I am so sorry 😢
Don’t know why she is acting like this

Friend (Priyanka): I felt really bad reading that message.. but am over it now
I'm not angry at anyone though
I would have told her myself eventually

Meghana: I know,Chinnu told me
Don’t worry about what she said
That’s how she talks to everyone these days
Even when she talks to me,like one ammachi she acts
Whenever I joke and say that I’ll find people at Cisco,the way she acts😵

Friend (Priyanka): I thought she voiced all your collective opinion, because it sounded so mature
It's ok let it go

","That’s how she talks in general these days
"
